*****Rover GA expirement*****
Date:2017-06-27 10:43:29.597323
Population size:3
Generation Count:5
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 0, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.3075
0, 1, 113, 49, 23, 2.92633330078, 2.56947670484, 8.70202549554, inf
0, 2, 50, 43, 35, 4.58226860199, 3.51968218961, 4.36310819413, inf
1, 0, 183, 86, 73, 2.86931379195, 3.77734376864, 4.36310819413, 72.6025
1, 3, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.305
1, 4, 50, 71, 35, 4.58226860199, 3.51968218961, 1.19198020568, inf
2, 3, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.645
2, 5, 183, 86, 55, 2.86931379195, 3.77734376864, 4.36310819413, inf
2, 6, 183, 70, 73, 2.86931379195, 3.77734376864, 4.36310819413, 73.295
3, 3, 183, 70, 73, 2.86931379195, 3.77734376864, 4.36310819413, 72.7875
3, 7, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.4375
3, 8, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.94
4, 7, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 72.965
4, 9, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, 71.79
4, 10, 183, 86, 73, 2.86931379195, 3.77734376864, 1.19198020568, inf
