*****Rover GA expirement*****
Date:2017-06-19 22:07:24.955781
Population size:40
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
0, 0, 74, 44, 25, 2.2284289559, 1.28043908546, inf
0, 1, 351, 56, 75, 4.63261093361, 2.47458939196, 95.585
0, 2, 213, 13, 79, 0.347498458417, 1.81693094701, inf
0, 3, 108, 73, 45, 2.52457484718, 2.64174983324, inf
0, 4, 345, 98, 37, 4.40206803417, 3.54989682161, 96.1775
0, 5, 294, 97, 21, 1.59220172479, 2.41484269313, 94.175
0, 6, 157, 29, 19, 4.60638341756, 4.85172367345, 97.24
0, 7, 356, 79, 41, 1.55216645775, 2.01770805841, 96.6875
0, 8, 56, 12, 47, 2.07497865173, 3.26826056086, inf
0, 9, 246, 10, 85, 2.13044968679, 2.39120777035, inf
0, 10, 179, 37, 91, 4.83041559229, 0.919647179713, 97.0675
0, 11, 371, 81, 83, 1.41398945723, 4.49005344219, inf
0, 12, 253, 46, 3, 2.58337958279, 0.872824443115, 103.855
0, 13, 150, 86, 35, 4.07261575665, 1.83343826993, 96.2025
0, 14, 90, 40, 17, 0.768761990633, 3.36996893065, inf
0, 15, 293, 19, 73, 2.67636781268, 0.50023893118, inf
0, 16, 84, 70, 91, 4.12079359891, 3.00020963821, inf
0, 17, 73, 74, 7, 3.89680492396, 0.444463237146, inf
0, 18, 390, 48, 21, 0.495159619808, 1.31934815772, inf
0, 19, 296, 27, 7, 3.75993299924, 0.840770542663, inf
0, 20, 108, 21, 15, 1.22405774715, 0.354559972104, inf
0, 21, 54, 12, 39, 4.6097982253, 4.1807729423, inf
0, 22, 242, 17, 93, 1.33901125736, 2.60633493949, 112.755
0, 23, 246, 42, 23, 4.49009019055, 0.541287299842, 93.6825
0, 24, 169, 69, 29, 0.104286100839, 0.411426067434, 92.575
0, 25, 304, 52, 37, 4.21088278246, 3.2334902918, 96.855
0, 26, 119, 21, 89, 2.03249700238, 2.76044660311, inf
0, 27, 176, 94, 61, 4.12696434315, 2.03052808403, 91.3725
0, 28, 289, 8, 13, 1.50006460811, 1.4462495118, inf
0, 29, 383, 23, 55, 4.3607545576, 2.68192553244, inf
0, 30, 364, 71, 75, 0.715908756674, 1.52089853074, inf
0, 31, 354, 38, 77, 3.17488619828, 4.91805409337, inf
0, 32, 240, 96, 83, 3.52395539678, 4.78862725128, 95.525
0, 33, 286, 45, 81, 3.5414884609, 2.81521649727, inf
0, 34, 310, 54, 89, 2.65140758835, 4.49067460674, 100.1675
0, 35, 206, 81, 3, 4.73726200842, 0.670440986197, 101.395
0, 36, 190, 27, 81, 3.38479929427, 2.13697840984, 98.3775
0, 37, 78, 48, 87, 4.32415913655, 1.59607479264, inf
0, 38, 394, 29, 95, 0.543859471898, 0.194862371546, 94.1725
0, 39, 264, 32, 61, 2.47891562139, 0.997995538979, inf
1, 27, 176, 44, 25, 2.2284289559, 1.28043908546, inf
1, 40, 190, 27, 81, 3.38479929427, 2.13697840984, inf
1, 41, 242, 17, 93, 1.33901125736, 2.60633493949, 114.4225
1, 42, 169, 69, 61, 0.104286100839, 0.411426067434, 94.6075
1, 43, 356, 45, 41, 1.55216645775, 2.01770805841, 104.2725
1, 44, 240, 96, 83, 3.52395539678, 0.919647179713, inf
1, 45, 206, 81, 23, 1.89897051878, 0.541287299842, 92.5725
1, 46, 206, 69, 29, 0.104286100839, 0.411426067434, 91.1825
1, 47, 242, 17, 87, 4.32415913655, 1.59607479264, 105.5775
1, 48, 190, 27, 81, 3.38479929427, 2.13697840984, 98.4875
1, 49, 246, 94, 19, 4.12696434315, 2.03052808403, 92.485
1, 50, 304, 52, 37, 4.21088278246, 3.2334902918, 96.78
1, 51, 351, 56, 75, 4.63261093361, 2.47458939196, inf
1, 52, 383, 23, 55, 4.3607545576, 2.68192553244, inf
1, 53, 321, 54, 89, 2.65140758835, 4.49067460674, inf
1, 54, 176, 94, 37, 4.40206803417, 3.54989682161, 90.9475
1, 55, 179, 37, 91, 4.83041559229, 0.919647179713, 96.9575
1, 56, 253, 47, 3, 2.58337958279, 0.872824443115, 104.885
1, 57, 74, 94, 61, 4.12696434315, 2.03052808403, inf
1, 58, 150, 86, 35, 4.07261575665, 1.83343826993, 94.175
1, 59, 169, 69, 29, 0.104286100839, 0.411426067434, 91.66
1, 60, 345, 98, 61, 4.12696434315, 2.03052808403, inf
1, 61, 246, 10, 85, 2.13044968679, 2.39120777035, inf
1, 62, 304, 52, 37, 4.21088278246, 3.2334902918, 96.15
1, 63, 169, 81, 3, 4.73726200842, 0.670440986197, inf
1, 64, 108, 21, 15, 1.22405774715, 0.354559972104, inf
1, 65, 176, 94, 61, 4.12696434315, 2.03052808403, 94.795
1, 66, 157, 29, 19, 4.60638341756, 4.85172367345, inf
1, 67, 304, 52, 37, 4.21088278246, 3.2334902918, inf
1, 68, 157, 29, 19, 4.60638341756, 4.85172367345, 94.775
1, 69, 253, 46, 3, 2.13044968679, 2.39120777035, 103.5925
1, 70, 351, 56, 75, 4.2667990087, 2.47458939196, 103.7075
1, 71, 293, 19, 73, 2.67636781268, 0.50023893118, inf
1, 72, 310, 54, 89, 2.65140758835, 4.49067460674, 96.46
1, 73, 78, 48, 93, 1.33901125736, 2.60633493949, inf
1, 74, 394, 29, 95, 0.543859471898, 0.194862371546, inf
1, 75, 176, 42, 3, 4.73726200842, 0.670440986197, 106.185
1, 76, 356, 79, 41, 1.55216645775, 2.01770805841, inf
1, 77, 179, 37, 91, 4.83041559229, 4.78862725128, 97.1625
